Genes,M-Expression,S-Expression,G-Expression
Cd14,1,1,1
Ifit2,1,0,1
Zbp1,1,1,1
Slc15a3,1,1,1
Rnd1,1,1,1
Hdc,1,1,1
Il18bp,1,1,1
Ifi204,1,1,1
Irf8,1,1,1
Fcgr4,1,1,1
Icam1,1,1,1
Sting1,1,1,1
Pnp,1,1,1
Csf2rb2,1,1,1
Sod2,1,1,0
Prickle1,0,0,0
Glipr2,1,1,1
Epsti1,1,1,1
Mlkl,1,1,1
Kit,1,1,1
Csf2rb,1,1,1
Cxcl12,0,0,0
Casp4,1,1,1
Il4ra,1,1,1
Slfn2,1,1,1
Glrx,1,1,1
Lgals9,1,1,1
Myd88,1,1,1
Ppa1,1,1,1
Rab20,1,1,1
Isg15,1,1,1
Inhbb,1,1,1
Ptprb,0,0,0
Tap2,1,1,1
Gimap4,1,1,1
Ctps1,1,1,1
Sell,1,1,1
Tap1,1,1,1
Hmcn1,0,0,0
C3,1,1,1
Cebpb,1,1,1
Adamts1,1,1,1
Notum,0,0,0
Asns,1,1,1
C1ra,1,1,1
Bche,0,0,0
NA,1,0,1
Nfkbiz,1,1,1
Oas3,1,1,1
Ccl9,1,1,1
Psmb8,1,1,1
Angpt2,1,1,1
Ifi211,1,1,1
Ifi35,1,1,1
Irgm2,1,0,1
Cd200,1,1,1
Hck,1,1,1
Ms4a6d,1,1,1
Mpeg1,1,1,1
Tnfaip3,1,1,1
Il2rg,1,1,1
Rhpn2,0,0,0
Tuba1c,1,1,1
Adam9,1,1,1
Tnfaip2,1,1,1
Ptpre,1,1,1
Slfn1,1,1,1
Sp110,1,1,1
Dusp2,1,1,1
Gm59199,1,1,1
Ccl11,1,1,1
Fzd6,0,0,0
Palm,0,0,0
Lgals3bp,1,1,1
Hey1,0,0,0
Tlr2,1,1,1
Uchl3,1,1,1
Ier3,1,1,1
Mcoln2,1,1,1
Slc16a4,0,0,0
Lcp2,1,1,1
Plekho2,1,1,1
Gtf2i,0,0,0
Nmi,1,1,1
Serpine1,1,1,1
Gimap9,1,1,1
Gstm7,0,0,0
Fgr,1,1,1
Kif26a,0,0,0
Chil3,1,1,1
Tcf7,0,0,0
Lrrn3,0,0,0
Parp3,1,1,1
Gm45552,0,0,0
Ube2l6,1,1,1
Abcb1a,0,0,0
Mthfd2,1,1,1
Taf4b,1,1,1
Bid,1,1,1
Btg1,1,1,1
Atf4,1,1,1
Itpr3,0,0,0
Tnfrsf1a,1,1,1
Hp,1,1,1
Psme1,1,1,1
Clec4e,1,1,1
Efr3b,0,0,0
Pprc1,1,1,1
Nfkb2,1,1,1
Bst2,1,1,1
Ifrd1,1,1,1
Tpm3,1,1,1
Irf6,0,0,0
Polk,0,0,0
AA467197,1,1,1
Slc7a5,0,0,0
Il3ra,1,1,1
Spock2,0,0,0
Ms4a6c,1,1,1
Mtss1,0,0,0
Hif1a,1,1,1
Myc,1,1,1
Nus1,1,1,1
Plin2,1,1,1
Slc39a10,0,0,0
Gpr141,1,1,1
Slc40a1,0,0,0
Mmp8,1,1,1
Slc16a2,0,0,0
St6galnac3,0,0,0
Ripk3,1,1,1
Psme2,1,1,1
Naa25,1,1,1
Upp1,1,1,1
Ptprr,0,0,0
Ly6c2,1,1,1
Trim30b,1,1,1
Prdm16,0,0,0
Txnrd1,1,1,1
Plscr4,0,0,0
Tril,0,0,0
Nfkbie,1,1,1
Unc5b,0,0,0
Cracd,0,0,0
